epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
0,0.90657,0.62450,0.14455,0.49645,0.22391,0.18421,0.10938,0.87924,0.93049,0.90414,7.05882,0.06478,0.03893,0.02585
1,0.92482,0.68122,0.14528,0.49454,0.22458,0.15789,0.14118,0.87564,0.88927,0.88240,14.31373,0.06350,0.03804,0.02547
2,0.92954,0.70560,0.15142,0.49553,0.23196,0.15470,0.20290,0.87640,0.83601,0.85573,19.80392,0.06235,0.03727,0.02508
3,0.93217,0.71836,0.15644,0.49981,0.23829,0.15300,0.25393,0.87737,0.79154,0.83224,24.50980,0.06133,0.03663,0.02470
4,0.93384,0.72391,0.15946,0.50528,0.24242,0.15495,0.28893,0.87884,0.76598,0.81854,26.07843,0.06041,0.03608,0.02433
5,0.93544,0.72537,0.16195,0.51460,0.24636,0.15670,0.31313,0.88011,0.74950,0.80957,27.84314,0.05948,0.03553,0.02395
6,0.93688,0.72423,0.16367,0.52517,0.24956,0.16198,0.33714,0.88250,0.74054,0.80531,30.39216,0.05866,0.03507,0.02359
7,0.93830,0.72182,0.16515,0.53692,0.25260,0.16861,0.35856,0.88532,0.73689,0.80431,30.00000,0.05783,0.03460,0.02323
8,0.93958,0.71901,0.16629,0.54794,0.25515,0.17464,0.37610,0.88786,0.73539,0.80446,33.92157,0.05709,0.03422,0.02287
9,0.94076,0.71628,0.16734,0.55832,0.25750,0.17963,0.38802,0.88983,0.73610,0.80570,34.31373,0.05638,0.03385,0.02252
10,0.94187,0.71394,0.16841,0.56797,0.25978,0.18463,0.39769,0.89166,0.73840,0.80783,36.66667,0.05568,0.03350,0.02218
11,0.94293,0.71227,0.16962,0.57687,0.26216,0.18970,0.40732,0.89350,0.74079,0.81001,38.43137,0.05500,0.03315,0.02184
12,0.94392,0.71108,0.17088,0.58500,0.26451,0.19370,0.41392,0.89486,0.74325,0.81204,39.60784,0.05436,0.03285,0.02151
13,0.94482,0.71036,0.17215,0.59214,0.26675,0.19804,0.42094,0.89631,0.74597,0.81426,40.00000,0.05375,0.03257,0.02118
14,0.94567,0.71021,0.17353,0.59863,0.26907,0.20195,0.42765,0.89764,0.74812,0.81609,41.17647,0.05305,0.03219,0.02086
15,0.94646,0.71044,0.17496,0.60443,0.27137,0.20539,0.43289,0.89875,0.75036,0.81788,40.58824,0.05244,0.03189,0.02054
16,0.94724,0.71099,0.17648,0.60996,0.27376,0.20928,0.43807,0.89992,0.75326,0.82008,43.33333,0.05188,0.03165,0.02023
17,0.94797,0.71179,0.17803,0.61505,0.27613,0.21244,0.44105,0.90074,0.75623,0.82219,43.52941,0.05122,0.03129,0.01993
18,0.94868,0.71284,0.17967,0.61993,0.27859,0.21485,0.44320,0.90135,0.75851,0.82378,43.72549,0.05064,0.03100,0.01963
19,0.94935,0.71417,0.18134,0.62429,0.28104,0.21705,0.44466,0.90185,0.76084,0.82536,44.70588,0.05004,0.03069,0.01935
20,0.95003,0.71574,0.18315,0.62867,0.28366,0.21892,0.44505,0.90218,0.76321,0.82690,45.68627,0.04939,0.03032,0.01906
21,0.95064,0.71758,0.18498,0.63242,0.28623,0.22052,0.44585,0.90250,0.76498,0.82807,45.88235,0.04888,0.03010,0.01879
22,0.95124,0.71960,0.18687,0.63595,0.28886,0.22227,0.44741,0.90293,0.76653,0.82915,45.29412,0.04828,0.02976,0.01852
23,0.95177,0.72181,0.18875,0.63892,0.29141,0.22391,0.44844,0.90327,0.76818,0.83027,47.25490,0.04773,0.02947,0.01825
24,0.95227,0.72415,0.19067,0.64165,0.29398,0.22537,0.44900,0.90354,0.76982,0.83134,48.62745,0.04723,0.02924,0.01800
25,0.95275,0.72660,0.19261,0.64410,0.29654,0.22701,0.45026,0.90391,0.77132,0.83237,48.82353,0.04668,0.02894,0.01774
26,0.95319,0.72917,0.19458,0.64629,0.29911,0.22913,0.45248,0.90444,0.77293,0.83353,49.41176,0.04616,0.02867,0.01750
27,0.95361,0.73184,0.19659,0.64825,0.30168,0.23092,0.45386,0.90483,0.77452,0.83462,50.00000,0.04571,0.02845,0.01726
28,0.95396,0.73454,0.19853,0.64972,0.30413,0.23236,0.45515,0.90516,0.77571,0.83545,50.98039,0.04535,0.02833,0.01702
29,0.95431,0.73732,0.20053,0.65114,0.30663,0.23363,0.45602,0.90542,0.77686,0.83623,50.39216,0.04480,0.02801,0.01679
30,0.95462,0.74012,0.20251,0.65229,0.30907,0.23502,0.45715,0.90573,0.77803,0.83704,50.78431,0.04432,0.02776,0.01656
31,0.95492,0.74297,0.20452,0.65326,0.31152,0.23611,0.45791,0.90595,0.77899,0.83769,50.19608,0.04387,0.02753,0.01634
32,0.95519,0.74586,0.20655,0.65409,0.31396,0.23720,0.45833,0.90614,0.78011,0.83841,50.58824,0.04349,0.02737,0.01612
33,0.95542,0.74872,0.20852,0.65457,0.31629,0.23805,0.45873,0.90629,0.78095,0.83897,50.19608,0.04314,0.02723,0.01591
34,0.95561,0.75157,0.21044,0.65476,0.31851,0.23867,0.45938,0.90644,0.78138,0.83927,50.98039,0.04277,0.02707,0.01570
35,0.95579,0.75444,0.21239,0.65489,0.32075,0.23949,0.46052,0.90666,0.78182,0.83963,51.17647,0.04230,0.02681,0.01550
36,0.95597,0.75729,0.21436,0.65500,0.32301,0.24028,0.46186,0.90690,0.78213,0.83991,51.96078,0.04203,0.02673,0.01529
37,0.95612,0.76012,0.21631,0.65494,0.32521,0.24076,0.46262,0.90704,0.78234,0.84009,51.76471,0.04156,0.02646,0.01510
38,0.95625,0.76296,0.21825,0.65465,0.32736,0.24154,0.46408,0.90730,0.78258,0.84034,52.54902,0.04123,0.02632,0.01491
39,0.95637,0.76577,0.22019,0.65435,0.32951,0.24179,0.46475,0.90740,0.78256,0.84037,52.94118,0.04086,0.02614,0.01472
40,0.95648,0.76850,0.22211,0.65404,0.33161,0.24215,0.46561,0.90753,0.78257,0.84043,50.98039,0.04050,0.02596,0.01454
41,0.95658,0.77112,0.22397,0.65362,0.33362,0.24243,0.46644,0.90766,0.78251,0.84045,53.13725,0.04032,0.02595,0.01436
42,0.95667,0.77371,0.22583,0.65324,0.33563,0.24258,0.46723,0.90776,0.78233,0.84039,52.94118,0.03998,0.02579,0.01419
43,0.95676,0.77621,0.22765,0.65280,0.33758,0.24302,0.46863,0.90796,0.78219,0.84039,52.74510,0.03964,0.02562,0.01402
44,0.95684,0.77867,0.22948,0.65240,0.33953,0.24337,0.46997,0.90815,0.78199,0.84036,51.76471,0.03937,0.02552,0.01385
45,0.95691,0.78108,0.23127,0.65191,0.34142,0.24356,0.47104,0.90829,0.78170,0.84025,51.56863,0.03916,0.02548,0.01368
46,0.95698,0.78340,0.23304,0.65144,0.34327,0.24370,0.47206,0.90842,0.78140,0.84013,50.58824,0.03873,0.02521,0.01352
47,0.95704,0.78567,0.23476,0.65091,0.34507,0.24356,0.47245,0.90844,0.78105,0.83994,52.74510,0.03850,0.02513,0.01336
48,0.95711,0.78786,0.23648,0.65046,0.34686,0.24350,0.47283,0.90847,0.78080,0.83981,51.76471,0.03829,0.02508,0.01321
49,0.95717,0.79000,0.23820,0.65006,0.34865,0.24359,0.47356,0.90856,0.78057,0.83971,51.76471,0.03798,0.02492,0.01306
50,0.95723,0.79207,0.23987,0.64965,0.35038,0.24361,0.47409,0.90862,0.78034,0.83961,51.56863,0.03776,0.02485,0.01291
51,0.95730,0.79405,0.24151,0.64928,0.35207,0.24371,0.47459,0.90869,0.78023,0.83957,52.54902,0.03759,0.02482,0.01277
52,0.95736,0.79596,0.24311,0.64893,0.35371,0.24386,0.47525,0.90878,0.78009,0.83953,52.94118,0.03726,0.02463,0.01263
53,0.95741,0.79782,0.24469,0.64856,0.35532,0.24393,0.47589,0.90885,0.77989,0.83945,51.76471,0.03713,0.02464,0.01249
54,0.95747,0.79962,0.24626,0.64829,0.35693,0.24429,0.47685,0.90900,0.77987,0.83950,52.15686,0.03676,0.02441,0.01235
55,0.95752,0.80135,0.24777,0.64797,0.35847,0.24442,0.47743,0.90908,0.77975,0.83946,52.15686,0.03660,0.02438,0.01222
56,0.95759,0.80299,0.24927,0.64781,0.36001,0.24463,0.47817,0.90919,0.77966,0.83946,51.17647,0.03649,0.02441,0.01209
57,0.95766,0.80458,0.25074,0.64769,0.36152,0.24475,0.47871,0.90926,0.77955,0.83942,51.76471,0.03623,0.02427,0.01196
58,0.95772,0.80610,0.25217,0.64757,0.36299,0.24510,0.47939,0.90938,0.77966,0.83954,52.35294,0.03605,0.02422,0.01183
59,0.95778,0.80757,0.25356,0.64744,0.36441,0.24543,0.47990,0.90948,0.77981,0.83967,52.15686,0.03582,0.02411,0.01171
60,0.95784,0.80900,0.25494,0.64733,0.36581,0.24586,0.48070,0.90962,0.77996,0.83981,53.52941,0.03562,0.02403,0.01159
61,0.95791,0.81035,0.25628,0.64731,0.36718,0.24626,0.48132,0.90974,0.78014,0.83997,52.35294,0.03548,0.02401,0.01147
62,0.95798,0.81167,0.25761,0.64731,0.36855,0.24674,0.48222,0.90989,0.78030,0.84013,53.33333,0.03522,0.02387,0.01135
63,0.95804,0.81292,0.25888,0.64735,0.36985,0.24711,0.48265,0.90999,0.78055,0.84031,52.35294,0.03515,0.02392,0.01123
64,0.95811,0.81412,0.26014,0.64743,0.37115,0.24755,0.48321,0.91010,0.78080,0.84051,51.37255,0.03484,0.02372,0.01112
65,0.95818,0.81529,0.26137,0.64752,0.37242,0.24803,0.48389,0.91024,0.78105,0.84071,51.76471,0.03471,0.02370,0.01101
66,0.95826,0.81639,0.26258,0.64772,0.37368,0.24844,0.48428,0.91033,0.78136,0.84093,52.74510,0.03458,0.02368,0.01090
67,0.95834,0.81748,0.26379,0.64791,0.37493,0.24894,0.48465,0.91043,0.78178,0.84122,51.56863,0.03445,0.02366,0.01079
68,0.95842,0.81851,0.26496,0.64815,0.37615,0.24945,0.48515,0.91055,0.78215,0.84148,53.52941,0.03429,0.02361,0.01068
69,0.95850,0.81950,0.26612,0.64848,0.37737,0.24995,0.48563,0.91066,0.78251,0.84173,52.54902,0.03400,0.02342,0.01058
70,0.95858,0.82047,0.26725,0.64876,0.37856,0.25041,0.48584,0.91074,0.78295,0.84203,51.96078,0.03400,0.02352,0.01048
71,0.95866,0.82139,0.26835,0.64906,0.37971,0.25087,0.48630,0.91085,0.78327,0.84225,51.56863,0.03380,0.02343,0.01038
72,0.95874,0.82230,0.26944,0.64939,0.38086,0.25134,0.48662,0.91094,0.78368,0.84253,53.13725,0.03359,0.02332,0.01028
73,0.95882,0.82315,0.27048,0.64968,0.38194,0.25179,0.48705,0.91104,0.78399,0.84275,52.94118,0.03354,0.02336,0.01018
74,0.95890,0.82400,0.27153,0.65004,0.38306,0.25223,0.48735,0.91112,0.78436,0.84300,52.15686,0.03332,0.02324,0.01008
75,0.95898,0.82483,0.27256,0.65036,0.38413,0.25262,0.48740,0.91117,0.78479,0.84327,52.94118,0.03327,0.02328,0.00999
76,0.95906,0.82559,0.27354,0.65079,0.38518,0.25302,0.48732,0.91121,0.78528,0.84357,53.72549,0.03309,0.02319,0.00990
77,0.95914,0.82634,0.27451,0.65114,0.38620,0.25316,0.48687,0.91118,0.78563,0.84376,52.54902,0.03293,0.02313,0.00981
78,0.95922,0.82706,0.27546,0.65155,0.38722,0.25344,0.48668,0.91119,0.78603,0.84400,53.72549,0.03278,0.02306,0.00972
79,0.95930,0.82777,0.27640,0.65197,0.38822,0.25382,0.48661,0.91122,0.78649,0.84427,53.33333,0.03262,0.02299,0.00963
80,0.95939,0.82845,0.27734,0.65243,0.38922,0.25420,0.48654,0.91126,0.78695,0.84456,54.11765,0.03255,0.02301,0.00954
81,0.95947,0.82909,0.27824,0.65294,0.39020,0.25448,0.48636,0.91127,0.78734,0.84478,54.31373,0.03240,0.02294,0.00946
82,0.95956,0.82970,0.27910,0.65343,0.39114,0.25480,0.48607,0.91128,0.78783,0.84507,53.92157,0.03223,0.02286,0.00938
83,0.95964,0.83031,0.27996,0.65389,0.39206,0.25514,0.48601,0.91131,0.78823,0.84531,54.50980,0.03213,0.02284,0.00930
84,0.95972,0.83090,0.28082,0.65441,0.39300,0.25564,0.48617,0.91138,0.78872,0.84563,53.72549,0.03194,0.02273,0.00922
85,0.95981,0.83144,0.28164,0.65498,0.39391,0.25604,0.48600,0.91141,0.78923,0.84593,53.72549,0.03187,0.02274,0.00914
86,0.95991,0.83196,0.28246,0.65564,0.39482,0.25660,0.48606,0.91148,0.78983,0.84630,53.92157,0.03175,0.02269,0.00906
87,0.96000,0.83244,0.28322,0.65621,0.39567,0.25704,0.48579,0.91150,0.79042,0.84665,54.90196,0.03170,0.02271,0.00898
88,0.96008,0.83291,0.28396,0.65677,0.39649,0.25758,0.48573,0.91155,0.79104,0.84703,54.31373,0.03158,0.02267,0.00891
89,0.96018,0.83334,0.28469,0.65744,0.39733,0.25813,0.48579,0.91162,0.79161,0.84739,54.70588,0.03140,0.02257,0.00884
90,0.96027,0.83377,0.28540,0.65805,0.39813,0.25868,0.48584,0.91168,0.79219,0.84774,55.09804,0.03145,0.02268,0.00876
91,0.96036,0.83415,0.28608,0.65875,0.39892,0.25929,0.48599,0.91177,0.79278,0.84812,54.31373,0.03128,0.02259,0.00869
92,0.96045,0.83450,0.28672,0.65940,0.39966,0.25989,0.48604,0.91184,0.79340,0.84851,55.09804,0.03113,0.02251,0.00862
93,0.96055,0.83484,0.28735,0.66013,0.40041,0.26064,0.48639,0.91196,0.79406,0.84894,54.90196,0.03095,0.02240,0.00855
94,0.96064,0.83518,0.28798,0.66081,0.40115,0.26122,0.48634,0.91201,0.79470,0.84933,53.92157,0.03096,0.02248,0.00848
95,0.96073,0.83549,0.28858,0.66149,0.40185,0.26182,0.48638,0.91208,0.79532,0.84971,55.88235,0.03086,0.02245,0.00842
96,0.96083,0.83575,0.28915,0.66227,0.40255,0.26250,0.48652,0.91217,0.79598,0.85012,56.47059,0.03069,0.02234,0.00835
97,0.96092,0.83602,0.28970,0.66298,0.40321,0.26316,0.48656,0.91225,0.79666,0.85054,55.49020,0.03067,0.02238,0.00829
98,0.96102,0.83627,0.29025,0.66375,0.40389,0.26367,0.48632,0.91227,0.79729,0.85091,54.31373,0.03053,0.02231,0.00822
99,0.96112,0.83652,0.29081,0.66453,0.40458,0.26415,0.48589,0.91227,0.79797,0.85130,54.90196,0.03030,0.02214,0.00816
100,0.96121,0.83678,0.29136,0.66524,0.40523,0.26479,0.48603,0.91235,0.79858,0.85168,57.05882,0.03023,0.02212,0.00810
101,0.96130,0.83707,0.29192,0.66592,0.40590,0.26527,0.48579,0.91238,0.79917,0.85203,55.68627,0.03016,0.02211,0.00804
102,0.96139,0.83731,0.29245,0.66663,0.40655,0.26580,0.48556,0.91241,0.79981,0.85241,55.29412,0.03018,0.02219,0.00798
