epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
0,0.84752,0.14754,0.10618,0.79231,0.18726,0.00000,0.00000,0.87426,0.99776,0.93194,4.11765,0.06932,0.04287,0.02645
1,0.89108,0.29710,0.09438,0.66855,0.16540,0.12500,0.01176,0.87176,0.98789,0.92620,6.86275,0.06720,0.04110,0.02610
2,0.90516,0.37559,0.09646,0.62881,0.16726,0.18919,0.02536,0.87221,0.98392,0.92470,10.98039,0.06556,0.03982,0.02574
3,0.91458,0.44670,0.10190,0.60076,0.17425,0.21429,0.03927,0.87292,0.97865,0.92277,15.09804,0.06418,0.03880,0.02538
4,0.92067,0.50781,0.10851,0.57791,0.18271,0.22078,0.06967,0.87459,0.96348,0.91688,19.41176,0.06296,0.03795,0.02501
5,0.92463,0.55801,0.11538,0.55896,0.19127,0.23158,0.11111,0.87735,0.94520,0.91001,22.15686,0.06184,0.03719,0.02465
6,0.92784,0.59776,0.12273,0.54761,0.20052,0.22757,0.14857,0.87957,0.92499,0.90171,24.70588,0.06071,0.03642,0.02429
7,0.93060,0.62816,0.13017,0.54295,0.21000,0.22024,0.18362,0.88144,0.90325,0.89221,26.66667,0.05958,0.03565,0.02393
8,0.93280,0.65094,0.13696,0.54157,0.21863,0.21215,0.21053,0.88260,0.88361,0.88311,28.82353,0.05853,0.03495,0.02358
9,0.93498,0.66805,0.14361,0.54506,0.22732,0.20493,0.22888,0.88313,0.86776,0.87538,31.76471,0.05748,0.03424,0.02323
10,0.93702,0.68088,0.14980,0.55130,0.23559,0.19796,0.24199,0.88322,0.85396,0.86835,32.54902,0.05654,0.03365,0.02289
11,0.93885,0.69073,0.15538,0.55843,0.24312,0.19439,0.25366,0.88352,0.84339,0.86299,34.70588,0.05566,0.03311,0.02256
12,0.94051,0.69848,0.16041,0.56594,0.24997,0.19355,0.26497,0.88410,0.83549,0.85911,37.64706,0.05482,0.03259,0.02223
13,0.94204,0.70456,0.16497,0.57384,0.25627,0.19500,0.27601,0.88498,0.83020,0.85672,39.01961,0.05396,0.03206,0.02190
14,0.94338,0.70928,0.16890,0.58124,0.26174,0.19582,0.28424,0.88562,0.82602,0.85478,40.00000,0.05319,0.03161,0.02158
15,0.94460,0.71295,0.17235,0.58839,0.26660,0.19689,0.29081,0.88619,0.82318,0.85353,41.96078,0.05241,0.03114,0.02127
16,0.94576,0.71603,0.17556,0.59554,0.27118,0.19794,0.29489,0.88660,0.82187,0.85301,42.94118,0.05163,0.03067,0.02096
