epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
0,0.89154,0.89345,0.15210,0.14955,0.15081,0.08374,0.26562,0.84691,0.58296,0.69057,9.41176,0.06606,0.03902,0.02704
1,0.90856,0.84784,0.13738,0.22117,0.16948,0.09550,0.31176,0.84825,0.56574,0.67878,12.54902,0.06438,0.03772,0.02666
2,0.91454,0.83329,0.14445,0.26550,0.18710,0.10619,0.34783,0.85460,0.56699,0.68170,16.27451,0.06308,0.03680,0.02628
3,0.91871,0.82357,0.15201,0.30263,0.20237,0.11483,0.37696,0.86033,0.56910,0.68505,18.82353,0.06194,0.03604,0.02590
4,0.92189,0.81509,0.15763,0.33379,0.21414,0.12186,0.39754,0.86526,0.57456,0.69056,21.37255,0.06087,0.03534,0.02553
5,0.92447,0.80769,0.16186,0.36010,0.22333,0.12774,0.41246,0.86939,0.58133,0.69676,24.31373,0.05987,0.03471,0.02516
6,0.92672,0.80110,0.16541,0.38361,0.23115,0.13259,0.42429,0.87271,0.58712,0.70198,24.90196,0.05892,0.03413,0.02479
7,0.92882,0.79474,0.16847,0.40573,0.23808,0.13719,0.43300,0.87575,0.59472,0.70838,27.45098,0.05798,0.03355,0.02443
8,0.93057,0.78874,0.17056,0.42471,0.24338,0.14104,0.43860,0.87815,0.60235,0.71456,28.23529,0.05717,0.03309,0.02408
9,0.93231,0.78330,0.17276,0.44315,0.24860,0.14432,0.44204,0.88007,0.60971,0.72036,28.62745,0.05628,0.03255,0.02373
10,0.93390,0.77838,0.17467,0.45984,0.25317,0.14745,0.44484,0.88180,0.61688,0.72593,30.78431,0.05548,0.03209,0.02340
11,0.93543,0.77406,0.17659,0.47559,0.25755,0.15044,0.44715,0.88336,0.62379,0.73122,33.13725,0.05469,0.03163,0.02306
12,0.93681,0.77032,0.17830,0.48959,0.26140,0.15322,0.44910,0.88475,0.63016,0.73606,34.90196,0.05393,0.03120,0.02274
13,0.93813,0.76711,0.18000,0.50258,0.26506,0.15615,0.45146,0.88617,0.63642,0.74081,36.47059,0.05326,0.03085,0.02241
14,0.93936,0.76425,0.18159,0.51462,0.26846,0.15862,0.45220,0.88725,0.64250,0.74530,36.47059,0.05252,0.03042,0.02210
15,0.94047,0.76174,0.18302,0.52539,0.27146,0.16071,0.45163,0.88805,0.64843,0.74956,37.05882,0.05197,0.03018,0.02179
