epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
0,0.87486,0.45166,0.10318,0.49451,0.17097,0.11111,0.01562,0.87425,0.98206,0.92503,9.21569,0.06808,0.04164,0.02644
1,0.91046,0.60703,0.11252,0.45511,0.18054,0.18644,0.06471,0.87451,0.95848,0.91457,10.19608,0.06598,0.03987,0.02612
2,0.91866,0.66310,0.12305,0.44617,0.19298,0.19728,0.10507,0.87619,0.93676,0.90546,11.17647,0.06424,0.03845,0.02580
3,0.92457,0.69989,0.13635,0.45358,0.20973,0.19932,0.15445,0.87866,0.90800,0.89309,13.13725,0.06273,0.03725,0.02548
4,0.92868,0.72500,0.14852,0.46289,0.22494,0.19028,0.19262,0.87988,0.87827,0.87907,17.64706,0.06138,0.03623,0.02516
5,0.93207,0.74193,0.15968,0.47566,0.23915,0.18194,0.22391,0.88054,0.85035,0.86518,20.78431,0.06014,0.03530,0.02484
6,0.93503,0.75348,0.16973,0.49053,0.25224,0.18004,0.25000,0.88160,0.83064,0.85536,25.68627,0.05894,0.03442,0.02452
7,0.93757,0.76127,0.17827,0.50543,0.26361,0.18476,0.28288,0.88412,0.81425,0.84775,30.39216,0.05792,0.03372,0.02420
8,0.93965,0.76642,0.18509,0.51879,0.27288,0.18870,0.31140,0.88650,0.80069,0.84141,33.13725,0.05693,0.03305,0.02388
9,0.94137,0.76984,0.19050,0.53047,0.28036,0.19404,0.33890,0.88924,0.79037,0.83690,37.05882,0.05603,0.03246,0.02356
10,0.94281,0.77181,0.19468,0.54096,0.28636,0.19854,0.36210,0.89169,0.78227,0.83340,37.84314,0.05518,0.03193,0.02325
11,0.94408,0.77299,0.19812,0.55059,0.29142,0.20172,0.38049,0.89366,0.77568,0.83050,39.01961,0.05437,0.03143,0.02294
12,0.94519,0.77363,0.20092,0.55925,0.29566,0.20526,0.39746,0.89566,0.77069,0.82849,41.17647,0.05365,0.03102,0.02263
13,0.94615,0.77388,0.20318,0.56696,0.29918,0.20885,0.41262,0.89757,0.76705,0.82719,43.13725,0.05296,0.03064,0.02233
14,0.94701,0.77387,0.20508,0.57402,0.30222,0.21304,0.42636,0.89950,0.76526,0.82697,43.13725,0.05227,0.03025,0.02202
15,0.94781,0.77381,0.20680,0.58058,0.30499,0.21618,0.43773,0.90107,0.76343,0.82656,44.70588,0.05169,0.02997,0.02173
16,0.94857,0.77377,0.20844,0.58680,0.30764,0.21965,0.44830,0.90265,0.76258,0.82672,44.90196,0.05107,0.02964,0.02143
17,0.94923,0.77377,0.20989,0.59222,0.30996,0.22277,0.45820,0.90412,0.76167,0.82680,46.07843,0.05054,0.02939,0.02115
18,0.94987,0.77379,0.21132,0.59751,0.31224,0.22596,0.46704,0.90550,0.76145,0.82725,46.86275,0.05001,0.02915,0.02086
19,0.95046,0.77392,0.21268,0.60227,0.31438,0.22897,0.47546,0.90683,0.76127,0.82770,45.29412,0.04951,0.02893,0.02058
20,0.95103,0.77415,0.21405,0.60678,0.31649,0.23195,0.48397,0.90817,0.76103,0.82811,45.29412,0.04896,0.02865,0.02031
21,0.95154,0.77451,0.21539,0.61079,0.31849,0.23479,0.49214,0.90947,0.76081,0.82852,46.07843,0.04858,0.02853,0.02004
22,0.95201,0.77494,0.21667,0.61445,0.32039,0.23701,0.49875,0.91051,0.76055,0.82880,45.68627,0.04807,0.02829,0.01978
23,0.95247,0.77542,0.21798,0.61800,0.32230,0.23921,0.50520,0.91153,0.76037,0.82912,46.86275,0.04756,0.02804,0.01952
24,0.95290,0.77596,0.21925,0.62127,0.32414,0.24159,0.51189,0.91262,0.76032,0.82954,47.25490,0.04719,0.02793,0.01927
25,0.95331,0.77658,0.22055,0.62440,0.32598,0.24414,0.51842,0.91371,0.76061,0.83016,49.01961,0.04677,0.02776,0.01902
26,0.95371,0.77727,0.22187,0.62734,0.32782,0.24624,0.52305,0.91453,0.76119,0.83084,47.45098,0.04638,0.02761,0.01877
27,0.95408,0.77798,0.22314,0.63006,0.32958,0.24795,0.52632,0.91513,0.76188,0.83150,48.03922,0.04599,0.02746,0.01853
28,0.95447,0.77875,0.22449,0.63291,0.33144,0.24957,0.52968,0.91574,0.76242,0.83208,48.82353,0.04548,0.02718,0.01830
29,0.95482,0.77957,0.22581,0.63543,0.33322,0.25128,0.53282,0.91632,0.76317,0.83276,49.21569,0.04516,0.02709,0.01807
30,0.95515,0.78040,0.22710,0.63780,0.33495,0.25273,0.53576,0.91686,0.76368,0.83329,49.01961,0.04475,0.02691,0.01784
31,0.95547,0.78129,0.22841,0.64008,0.33669,0.25416,0.53851,0.91736,0.76425,0.83384,48.62745,0.04443,0.02681,0.01762
32,0.95579,0.78219,0.22973,0.64228,0.33843,0.25560,0.54109,0.91785,0.76491,0.83443,49.41176,0.04399,0.02658,0.01740
33,0.95609,0.78311,0.23104,0.64438,0.34014,0.25707,0.54351,0.91832,0.76566,0.83507,49.60784,0.04378,0.02659,0.01719
34,0.95637,0.78401,0.23230,0.64633,0.34178,0.25849,0.54553,0.91873,0.76653,0.83576,50.78431,0.04342,0.02645,0.01698
35,0.95666,0.78491,0.23356,0.64829,0.34341,0.25972,0.54716,0.91908,0.76731,0.83637,49.41176,0.04302,0.02625,0.01677
36,0.95691,0.78578,0.23476,0.65005,0.34495,0.26103,0.54897,0.91945,0.76813,0.83701,51.17647,0.04278,0.02621,0.01657
37,0.95717,0.78664,0.23595,0.65181,0.34649,0.26243,0.55068,0.91982,0.76909,0.83773,50.00000,0.04246,0.02609,0.01637
38,0.95742,0.78750,0.23714,0.65352,0.34801,0.26353,0.55205,0.92012,0.76982,0.83828,50.19608,0.04215,0.02597,0.01618
39,0.95765,0.78836,0.23830,0.65510,0.34949,0.26476,0.55336,0.92042,0.77072,0.83894,52.15686,0.04184,0.02586,0.01599
40,0.95789,0.78922,0.23947,0.65671,0.35097,0.26608,0.55460,0.92072,0.77175,0.83968,52.35294,0.04149,0.02569,0.01580
41,0.95811,0.79001,0.24057,0.65824,0.35237,0.26737,0.55578,0.92100,0.77277,0.84040,51.17647,0.04122,0.02560,0.01561
42,0.95833,0.79079,0.24165,0.65974,0.35374,0.26833,0.55669,0.92122,0.77351,0.84093,50.39216,0.04093,0.02550,0.01543
43,0.95853,0.79156,0.24270,0.66111,0.35506,0.26929,0.55733,0.92140,0.77434,0.84150,51.17647,0.04070,0.02544,0.01525
44,0.95873,0.79232,0.24372,0.66242,0.35635,0.27031,0.55795,0.92159,0.77526,0.84212,53.13725,0.04045,0.02537,0.01508
45,0.95892,0.79306,0.24473,0.66374,0.35762,0.27122,0.55854,0.92176,0.77605,0.84265,52.15686,0.04013,0.02522,0.01491
46,0.95911,0.79376,0.24572,0.66506,0.35886,0.27215,0.55911,0.92193,0.77687,0.84320,51.56863,0.03993,0.02519,0.01474
47,0.95931,0.79445,0.24670,0.66640,0.36010,0.27298,0.55965,0.92208,0.77759,0.84369,51.96078,0.03962,0.02505,0.01457
48,0.95948,0.79514,0.24765,0.66760,0.36129,0.27391,0.56036,0.92227,0.77834,0.84421,52.54902,0.03938,0.02497,0.01441
49,0.95966,0.79586,0.24862,0.66877,0.36250,0.27465,0.56105,0.92243,0.77889,0.84460,52.35294,0.03911,0.02486,0.01425
50,0.95983,0.79656,0.24960,0.66999,0.36371,0.27551,0.56171,0.92260,0.77959,0.84508,54.11765,0.03881,0.02472,0.01409
51,0.96000,0.79730,0.25058,0.67110,0.36492,0.27630,0.56234,0.92276,0.78020,0.84551,53.13725,0.03858,0.02465,0.01394
52,0.96017,0.79799,0.25154,0.67225,0.36611,0.27713,0.56295,0.92292,0.78087,0.84597,54.11765,0.03836,0.02458,0.01379
53,0.96033,0.79867,0.25246,0.67331,0.36724,0.27799,0.56371,0.92310,0.78152,0.84643,54.50980,0.03820,0.02456,0.01364
54,0.96049,0.79933,0.25339,0.67443,0.36838,0.27885,0.56444,0.92328,0.78216,0.84688,53.52941,0.03792,0.02443,0.01349
55,0.96064,0.80000,0.25429,0.67543,0.36949,0.27970,0.56515,0.92345,0.78281,0.84734,53.13725,0.03760,0.02426,0.01334
56,0.96079,0.80067,0.25521,0.67645,0.37061,0.28040,0.56567,0.92358,0.78337,0.84771,53.92157,0.03742,0.02422,0.01320
57,0.96094,0.80135,0.25612,0.67738,0.37170,0.28108,0.56616,0.92371,0.78390,0.84808,54.11765,0.03726,0.02420,0.01306
58,0.96108,0.80202,0.25702,0.67835,0.37280,0.28172,0.56648,0.92381,0.78446,0.84845,54.50980,0.03704,0.02411,0.01292
59,0.96122,0.80268,0.25791,0.67923,0.37386,0.28226,0.56679,0.92390,0.78491,0.84875,53.52941,0.03683,0.02404,0.01279
60,0.96135,0.80335,0.25880,0.68010,0.37493,0.28290,0.56725,0.92402,0.78542,0.84910,54.11765,0.03665,0.02400,0.01265
61,0.96148,0.80402,0.25966,0.68090,0.37596,0.28350,0.56769,0.92413,0.78588,0.84942,54.90196,0.03651,0.02398,0.01252
62,0.96160,0.80468,0.26054,0.68172,0.37701,0.28407,0.56796,0.92422,0.78638,0.84974,54.50980,0.03625,0.02386,0.01239
63,0.96172,0.80532,0.26137,0.68244,0.37799,0.28457,0.56808,0.92428,0.78686,0.85005,53.33333,0.03602,0.02375,0.01227
64,0.96183,0.80598,0.26224,0.68319,0.37901,0.28513,0.56834,0.92437,0.78734,0.85037,54.11765,0.03585,0.02371,0.01214
65,0.96195,0.80663,0.26308,0.68388,0.37999,0.28571,0.56859,0.92445,0.78786,0.85071,54.11765,0.03566,0.02363,0.01202
66,0.96206,0.80727,0.26391,0.68458,0.38097,0.28619,0.56870,0.92451,0.78831,0.85100,53.52941,0.03547,0.02357,0.01190
