epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
43,0.95907,0.74751,0.21498,0.68432,0.32716,0.23662,0.43985,0.90413,0.78826,0.84223,48.03922,0.03965,0.02570,0.01395
44,0.95923,0.74977,0.21656,0.68463,0.32903,0.23724,0.44057,0.90428,0.78864,0.84252,48.82353,0.03930,0.02554,0.01376
45,0.95936,0.75205,0.21813,0.68471,0.33084,0.23802,0.44166,0.90449,0.78902,0.84282,50.39216,0.03913,0.02555,0.01359
46,0.95947,0.75422,0.21963,0.68473,0.33257,0.23862,0.44231,0.90463,0.78940,0.84310,49.60784,0.03886,0.02545,0.01341
47,0.95959,0.75631,0.22110,0.68481,0.33426,0.23914,0.44273,0.90474,0.78980,0.84337,49.60784,0.03862,0.02538,0.01324
48,0.95971,0.75827,0.22253,0.68495,0.33591,0.23937,0.44274,0.90477,0.79007,0.84354,49.80392,0.03849,0.02542,0.01307
49,0.95984,0.76019,0.22395,0.68513,0.33754,0.23983,0.44294,0.90485,0.79050,0.84382,49.41176,0.03811,0.02520,0.01290
50,0.95994,0.76207,0.22532,0.68519,0.33911,0.24032,0.44333,0.90495,0.79088,0.84408,51.76471,0.03797,0.02523,0.01274
51,0.96004,0.76390,0.22667,0.68523,0.34064,0.24073,0.44388,0.90506,0.79108,0.84424,50.58824,0.03766,0.02507,0.01258
52,0.96014,0.76566,0.22801,0.68535,0.34217,0.24131,0.44440,0.90518,0.79149,0.84453,50.98039,0.03745,0.02502,0.01243
53,0.96025,0.76736,0.22933,0.68550,0.34366,0.24192,0.44509,0.90533,0.79186,0.84480,49.80392,0.03715,0.02487,0.01228
54,0.96036,0.76899,0.23063,0.68576,0.34516,0.24241,0.44575,0.90546,0.79212,0.84500,51.17647,0.03700,0.02487,0.01213
55,0.96047,0.77058,0.23190,0.68595,0.34661,0.24286,0.44588,0.90552,0.79256,0.84528,51.17647,0.03677,0.02478,0.01199
56,0.96057,0.77210,0.23315,0.68621,0.34803,0.24345,0.44633,0.90564,0.79302,0.84559,52.15686,0.03662,0.02478,0.01184
57,0.96068,0.77354,0.23435,0.68651,0.34941,0.24401,0.44661,0.90574,0.79350,0.84591,51.17647,0.03643,0.02473,0.01170
58,0.96078,0.77493,0.23552,0.68677,0.35074,0.24445,0.44672,0.90580,0.79395,0.84620,50.98039,0.03612,0.02455,0.01156
59,0.96088,0.77630,0.23668,0.68702,0.35206,0.24501,0.44698,0.90589,0.79445,0.84652,51.56863,0.03597,0.02454,0.01143
60,0.96098,0.77761,0.23782,0.68733,0.35335,0.24568,0.44738,0.90602,0.79501,0.84689,52.35294,0.03569,0.02439,0.01130
61,0.96109,0.77886,0.23894,0.68774,0.35465,0.24625,0.44763,0.90611,0.79553,0.84722,52.54902,0.03558,0.02441,0.01117
62,0.96121,0.78006,0.24006,0.68821,0.35594,0.24668,0.44756,0.90615,0.79602,0.84752,51.37255,0.03528,0.02424,0.01104
63,0.96132,0.78123,0.24113,0.68863,0.35717,0.24703,0.44720,0.90615,0.79657,0.84784,52.15686,0.03514,0.02422,0.01092
64,0.96142,0.78237,0.24220,0.68906,0.35841,0.24751,0.44714,0.90620,0.79713,0.84817,51.96078,0.03500,0.02420,0.01079
65,0.96153,0.78344,0.24323,0.68954,0.35960,0.24793,0.44694,0.90623,0.79767,0.84849,51.37255,0.03475,0.02408,0.01068
66,0.96164,0.78449,0.24424,0.69002,0.36077,0.24823,0.44660,0.90623,0.79814,0.84876,51.76471,0.03455,0.02399,0.01056
67,0.96173,0.78551,0.24522,0.69039,0.36189,0.24854,0.44627,0.90623,0.79863,0.84903,53.13725,0.03448,0.02404,0.01044
68,0.96183,0.78650,0.24619,0.69084,0.36301,0.24889,0.44596,0.90623,0.79914,0.84932,50.98039,0.03425,0.02392,0.01033
69,0.96194,0.78744,0.24714,0.69134,0.36411,0.24917,0.44551,0.90622,0.79964,0.84960,52.35294,0.03405,0.02384,0.01022
70,0.96205,0.78834,0.24809,0.69194,0.36521,0.24946,0.44508,0.90620,0.80014,0.84988,51.56863,0.03388,0.02377,0.01011
71,0.96216,0.78921,0.24900,0.69248,0.36628,0.24980,0.44480,0.90621,0.80063,0.85016,52.15686,0.03373,0.02373,0.01000
72,0.96227,0.79006,0.24992,0.69311,0.36736,0.25009,0.44426,0.90619,0.80119,0.85046,51.76471,0.03355,0.02366,0.00990
73,0.96238,0.79087,0.25080,0.69370,0.36840,0.25031,0.44360,0.90614,0.80171,0.85073,52.35294,0.03347,0.02368,0.00979
74,0.96248,0.79168,0.25167,0.69425,0.36941,0.25045,0.44284,0.90608,0.80219,0.85098,51.56863,0.03330,0.02361,0.00969
75,0.96259,0.79244,0.25253,0.69488,0.37043,0.25069,0.44223,0.90604,0.80272,0.85126,54.11765,0.03310,0.02351,0.00959
76,0.96270,0.79321,0.25340,0.69549,0.37144,0.25098,0.44175,0.90602,0.80324,0.85154,52.35294,0.03299,0.02350,0.00949
77,0.96280,0.79395,0.25422,0.69606,0.37242,0.25121,0.44116,0.90598,0.80374,0.85181,52.15686,0.03281,0.02342,0.00939
78,0.96290,0.79467,0.25505,0.69665,0.37339,0.25140,0.44071,0.90596,0.80414,0.85202,51.76471,0.03276,0.02346,0.00930
79,0.96300,0.79536,0.25583,0.69717,0.37429,0.25149,0.44003,0.90590,0.80453,0.85221,52.74510,0.03270,0.02349,0.00920
