epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
0,0.82998,0.44212,0.06256,0.29134,0.10302,0.05263,0.01562,0.87169,0.95964,0.91355,1.76471,0.07910,0.04223,0.03687
1,0.86339,0.49824,0.05771,0.28049,0.09573,0.06250,0.01765,0.86933,0.96107,0.91290,3.72549,0.07687,0.04063,0.03624
2,0.87546,0.54069,0.05957,0.27445,0.09789,0.09890,0.03261,0.86982,0.95606,0.91090,6.86275,0.07502,0.03941,0.03561
3,0.88536,0.58922,0.06425,0.26989,0.10379,0.12987,0.05236,0.87090,0.94798,0.90781,11.96078,0.07336,0.03839,0.03497
4,0.89439,0.64092,0.07230,0.26997,0.11406,0.16732,0.08811,0.87347,0.93488,0.90313,18.23529,0.07189,0.03755,0.03434
5,0.90232,0.68926,0.08405,0.27648,0.12891,0.18676,0.13300,0.87641,0.91391,0.89477,23.52941,0.07046,0.03673,0.03373
6,0.90877,0.72824,0.09838,0.28857,0.14674,0.19907,0.18429,0.87999,0.88972,0.88483,29.21569,0.06890,0.03578,0.03312
7,0.91467,0.75803,0.11607,0.31003,0.16891,0.20505,0.24194,0.88408,0.86041,0.87209,32.74510,0.06723,0.03469,0.03254
8,0.91962,0.78017,0.13426,0.33329,0.19142,0.20719,0.29057,0.88765,0.83448,0.86024,33.72549,0.06548,0.03351,0.03197
9,0.92375,0.79702,0.15181,0.35576,0.21282,0.21007,0.33202,0.89111,0.81407,0.85085,36.66667,0.06371,0.03230,0.03141
10,0.92723,0.81017,0.16828,0.37658,0.23261,0.21262,0.36566,0.89417,0.79830,0.84352,39.01961,0.06207,0.03120,0.03087
11,0.93025,0.82056,0.18360,0.39611,0.25091,0.21508,0.39187,0.89676,0.78694,0.83827,40.98039,0.06052,0.03018,0.03034
12,0.93285,0.82890,0.19756,0.41382,0.26744,0.21696,0.41168,0.89880,0.77861,0.83440,41.17647,0.05902,0.02920,0.02982
13,0.93515,0.83571,0.21035,0.43028,0.28257,0.21913,0.42580,0.90043,0.77387,0.83237,41.96078,0.05765,0.02833,0.02931
14,0.93721,0.84141,0.22210,0.44545,0.29641,0.22372,0.43992,0.90247,0.77248,0.83243,44.90196,0.05624,0.02741,0.02882
15,0.93907,0.84624,0.23289,0.45949,0.30911,0.22801,0.45284,0.90438,0.77145,0.83264,46.27451,0.05483,0.02649,0.02834
16,0.94072,0.85057,0.24287,0.47209,0.32074,0.23297,0.46648,0.90649,0.77105,0.83330,47.84314,0.05356,0.02568,0.02788
17,0.94220,0.85439,0.25209,0.48360,0.33143,0.23658,0.47696,0.90810,0.77053,0.83368,48.23529,0.05234,0.02491,0.02742
18,0.94358,0.85776,0.26073,0.49448,0.34143,0.24022,0.48580,0.90955,0.77091,0.83451,49.21569,0.05114,0.02416,0.02698
19,0.94488,0.86077,0.26886,0.50483,0.35087,0.24370,0.49326,0.91082,0.77174,0.83553,49.80392,0.05002,0.02348,0.02655
20,0.94607,0.86351,0.27651,0.51452,0.35971,0.24632,0.49863,0.91176,0.77250,0.83637,50.58824,0.04895,0.02282,0.02613
21,0.94719,0.86596,0.28362,0.52359,0.36794,0.24897,0.50349,0.91264,0.77351,0.83733,51.56863,0.04806,0.02235,0.02571
22,0.94821,0.86816,0.29023,0.53206,0.37558,0.25129,0.50710,0.91333,0.77468,0.83831,52.94118,0.04717,0.02186,0.02531
23,0.94919,0.87017,0.29650,0.54015,0.38285,0.25382,0.51119,0.91411,0.77587,0.83934,53.33333,0.04645,0.02154,0.02491
24,0.95010,0.87199,0.30238,0.54785,0.38968,0.25616,0.51457,0.91478,0.77714,0.84036,54.31373,0.04557,0.02105,0.02452
25,0.95093,0.87368,0.30782,0.55480,0.39596,0.25836,0.51805,0.91544,0.77819,0.84125,54.11765,0.04493,0.02078,0.02415
26,0.95173,0.87525,0.31304,0.56155,0.40199,0.26051,0.52092,0.91602,0.77944,0.84223,53.52941,0.04425,0.02048,0.02378
27,0.95249,0.87671,0.31801,0.56796,0.40773,0.26251,0.52358,0.91656,0.78059,0.84313,53.13725,0.04371,0.02030,0.02341
28,0.95321,0.87810,0.32279,0.57414,0.41324,0.26476,0.52639,0.91714,0.78195,0.84417,55.29412,0.04304,0.01998,0.02306
29,0.95386,0.87936,0.32713,0.57964,0.41823,0.26673,0.52836,0.91759,0.78332,0.84516,55.49020,0.04251,0.01980,0.02271
30,0.95447,0.88058,0.33132,0.58482,0.42300,0.26868,0.53083,0.91809,0.78447,0.84603,55.88235,0.04198,0.01960,0.02238
31,0.95506,0.88174,0.33533,0.58982,0.42758,0.27054,0.53284,0.91852,0.78567,0.84692,55.29412,0.04129,0.01924,0.02205
32,0.95562,0.88282,0.33918,0.59463,0.43197,0.27253,0.53559,0.91906,0.78671,0.84775,56.66667,0.04093,0.01921,0.02172
33,0.95614,0.88385,0.34283,0.59912,0.43611,0.27438,0.53790,0.91953,0.78778,0.84857,57.05882,0.04039,0.01898,0.02141
34,0.95664,0.88485,0.34635,0.60336,0.44008,0.27610,0.54008,0.91997,0.78874,0.84932,57.45098,0.03985,0.01875,0.02110
35,0.95712,0.88577,0.34970,0.60752,0.44389,0.27799,0.54213,0.92041,0.78993,0.85019,57.45098,0.03943,0.01863,0.02080
36,0.95757,0.88663,0.35285,0.61140,0.44746,0.27971,0.54407,0.92081,0.79097,0.85097,58.03922,0.03903,0.01853,0.02051
37,0.95800,0.88744,0.35586,0.61513,0.45088,0.28158,0.54641,0.92128,0.79200,0.85176,57.84314,0.03867,0.01845,0.02022
38,0.95841,0.88821,0.35874,0.61868,0.45415,0.28319,0.54839,0.92168,0.79290,0.85245,57.64706,0.03825,0.01831,0.01994
39,0.95882,0.88893,0.36154,0.62227,0.45735,0.28499,0.55050,0.92211,0.79393,0.85323,58.43137,0.03787,0.01820,0.01967
40,0.95919,0.88961,0.36415,0.62554,0.46033,0.28695,0.55297,0.92259,0.79498,0.85405,60.00000,0.03747,0.01807,0.01940
41,0.95957,0.89025,0.36672,0.62886,0.46328,0.28863,0.55488,0.92298,0.79595,0.85477,60.39216,0.03698,0.01784,0.01914
42,0.95993,0.89091,0.36925,0.63197,0.46614,0.29010,0.55669,0.92334,0.79674,0.85538,61.37255,0.03662,0.01773,0.01889
43,0.96027,0.89155,0.37169,0.63492,0.46889,0.29130,0.55820,0.92364,0.79736,0.85587,60.98039,0.03624,0.01759,0.01865
44,0.96058,0.89215,0.37399,0.63768,0.47148,0.29256,0.56007,0.92398,0.79792,0.85634,61.17647,0.03592,0.01752,0.01840
45,0.96089,0.89274,0.37624,0.64037,0.47399,0.29341,0.56103,0.92418,0.79840,0.85670,59.41176,0.03563,0.01746,0.01817
46,0.96119,0.89327,0.37837,0.64302,0.47641,0.29442,0.56215,0.92441,0.79898,0.85713,60.39216,0.03526,0.01733,0.01794
47,0.96148,0.89381,0.38045,0.64549,0.47874,0.29546,0.56381,0.92471,0.79938,0.85749,60.78431,0.03483,0.01712,0.01771
48,0.96176,0.89432,0.38248,0.64799,0.48103,0.29642,0.56522,0.92497,0.79980,0.85784,61.96078,0.03466,0.01716,0.01750
49,0.96202,0.89483,0.38442,0.65023,0.48318,0.29735,0.56676,0.92524,0.80015,0.85816,61.56863,0.03436,0.01707,0.01728
50,0.96227,0.89532,0.38631,0.65242,0.48528,0.29834,0.56842,0.92554,0.80051,0.85849,62.54902,0.03394,0.01686,0.01707
51,0.96250,0.89577,0.38809,0.65449,0.48726,0.29926,0.57002,0.92582,0.80082,0.85880,60.98039,0.03375,0.01688,0.01687
52,0.96274,0.89619,0.38979,0.65659,0.48918,0.30023,0.57138,0.92607,0.80126,0.85916,59.80392,0.03349,0.01682,0.01667
53,0.96297,0.89661,0.39147,0.65862,0.49106,0.30106,0.57233,0.92627,0.80171,0.85950,59.60784,0.03314,0.01667,0.01647
