epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
0,0.88666,0.99988,0.00000,0.00000,0.00000,0.12623,1.00000,1.00000,0.00673,0.01336,12.54902,0.07356,0.03844,0.03512
1,0.90124,0.99987,0.00000,0.00000,0.00000,0.12832,0.99412,0.88889,0.00692,0.01373,12.54902,0.07231,0.03801,0.03430
2,0.90441,0.99934,0.36923,0.00364,0.00721,0.13133,0.99638,0.97917,0.02519,0.04911,15.49020,0.07114,0.03763,0.03350
3,0.90625,0.99836,0.42715,0.01173,0.02284,0.13338,0.98953,0.96774,0.04658,0.08889,17.45098,0.07003,0.03731,0.03272
4,0.90792,0.99681,0.44548,0.02474,0.04688,0.13559,0.98361,0.96581,0.06878,0.12841,19.60784,0.06890,0.03695,0.03195
5,0.90938,0.99477,0.43346,0.03886,0.07133,0.13817,0.97811,0.96623,0.09309,0.16982,22.15686,0.06778,0.03657,0.03121
6,0.91078,0.99245,0.42337,0.05396,0.09572,0.14014,0.97000,0.96257,0.11475,0.20505,23.33333,0.06672,0.03623,0.03049
7,0.91214,0.98999,0.41612,0.06959,0.11924,0.14166,0.96154,0.95872,0.13294,0.23350,23.33333,0.06565,0.03586,0.02979
8,0.91353,0.98738,0.41152,0.08629,0.14266,0.14340,0.95395,0.95675,0.15165,0.26180,26.66667,0.06456,0.03545,0.02912
9,0.91491,0.98460,0.40667,0.10336,0.16483,0.14520,0.94695,0.95556,0.16984,0.28841,28.23529,0.06348,0.03502,0.02846
10,0.91628,0.98163,0.40107,0.12064,0.18548,0.14726,0.94039,0.95509,0.18884,0.31534,30.78431,0.06238,0.03455,0.02783
11,0.91766,0.97860,0.39672,0.13811,0.20489,0.14945,0.93415,0.95495,0.20797,0.34156,32.94118,0.06128,0.03406,0.02722
12,0.91907,0.97533,0.39205,0.15628,0.22348,0.15163,0.92590,0.95382,0.22808,0.36814,34.11765,0.06018,0.03354,0.02664
13,0.92057,0.97168,0.38697,0.17578,0.24175,0.15394,0.91678,0.95257,0.24907,0.39489,37.25490,0.05905,0.03298,0.02607
14,0.92222,0.96767,0.38251,0.19706,0.26012,0.15636,0.90633,0.95103,0.27113,0.42197,38.62745,0.05788,0.03236,0.02552
15,0.92390,0.96337,0.37781,0.21896,0.27724,0.15914,0.89722,0.95036,0.29335,0.44832,40.98039,0.05674,0.03175,0.02499
16,0.92554,0.95907,0.37328,0.24012,0.29225,0.16179,0.88864,0.94973,0.31365,0.47157,44.11765,0.05562,0.03114,0.02448
17,0.92717,0.95489,0.36994,0.26096,0.30604,0.16440,0.87942,0.94886,0.33357,0.49362,45.09804,0.05454,0.03055,0.02399
18,0.92879,0.95097,0.36796,0.28135,0.31888,0.16685,0.86917,0.94761,0.35287,0.51424,47.05882,0.05352,0.03002,0.02351
19,0.93037,0.94732,0.36678,0.30091,0.33060,0.16910,0.85756,0.94595,0.37170,0.53369,48.43137,0.05249,0.02945,0.02304
20,0.93187,0.94418,0.36692,0.31914,0.34137,0.17166,0.84799,0.94504,0.38980,0.55194,49.01961,0.05146,0.02888,0.02258
21,0.93330,0.94174,0.36886,0.33592,0.35162,0.17396,0.83843,0.94402,0.40629,0.56809,49.21569,0.05056,0.02842,0.02214
22,0.93465,0.93989,0.37198,0.35142,0.36141,0.17621,0.82930,0.94308,0.42182,0.58292,48.62745,0.04959,0.02788,0.02171
23,0.93594,0.93848,0.37596,0.36590,0.37086,0.17869,0.82174,0.94261,0.43670,0.59687,50.39216,0.04865,0.02736,0.02130
24,0.93710,0.93729,0.37956,0.37880,0.37918,0.18104,0.81403,0.94203,0.45076,0.60976,50.00000,0.04792,0.02703,0.02089
25,0.93821,0.93625,0.38316,0.39107,0.38708,0.18349,0.80766,0.94177,0.46395,0.62165,50.58824,0.04696,0.02646,0.02050
26,0.93927,0.93522,0.38623,0.40267,0.39428,0.18583,0.80177,0.94152,0.47604,0.63236,51.37255,0.04624,0.02612,0.02012
27,0.94025,0.93428,0.38902,0.41343,0.40085,0.18803,0.79597,0.94122,0.48731,0.64215,50.58824,0.04561,0.02587,0.01975
28,0.94119,0.93340,0.39170,0.42374,0.40709,0.19021,0.79057,0.94096,0.49793,0.65125,51.76471,0.04486,0.02548,0.01938
29,0.94208,0.93262,0.39420,0.43332,0.41284,0.19216,0.78553,0.94068,0.50737,0.65919,52.15686,0.04420,0.02517,0.01903
30,0.94293,0.93189,0.39660,0.44248,0.41829,0.19413,0.78083,0.94046,0.51646,0.66677,50.98039,0.04352,0.02484,0.01868
31,0.94372,0.93130,0.39906,0.45097,0.42343,0.19590,0.77582,0.94011,0.52494,0.67370,50.78431,0.04294,0.02460,0.01834
32,0.94449,0.93075,0.40143,0.45917,0.42836,0.19763,0.77112,0.93979,0.53294,0.68016,51.56863,0.04232,0.02431,0.01802
33,0.94525,0.93013,0.40348,0.46728,0.43304,0.19942,0.76670,0.93953,0.54079,0.68646,51.96078,0.04177,0.02407,0.01770
34,0.94596,0.92969,0.40577,0.47479,0.43757,0.20114,0.76281,0.93934,0.54799,0.69218,51.17647,0.04110,0.02371,0.01739
35,0.94662,0.92943,0.40831,0.48164,0.44195,0.20284,0.75967,0.93927,0.55459,0.69741,52.35294,0.04061,0.02353,0.01709
36,0.94722,0.92928,0.41089,0.48788,0.44609,0.20464,0.75747,0.93938,0.56076,0.70229,52.94118,0.03999,0.02320,0.01679
37,0.94781,0.92919,0.41350,0.49384,0.45011,0.20621,0.75489,0.93935,0.56644,0.70672,53.13725,0.03944,0.02293,0.01651
38,0.94830,0.92930,0.41629,0.49879,0.45382,0.20790,0.75367,0.93958,0.57157,0.71077,53.92157,0.03892,0.02269,0.01624
39,0.94876,0.92943,0.41894,0.50337,0.45730,0.20919,0.75131,0.93950,0.57624,0.71434,52.15686,0.03841,0.02244,0.01597
40,0.94920,0.92960,0.42162,0.50778,0.46071,0.21058,0.74930,0.93950,0.58088,0.71789,53.33333,0.03801,0.02230,0.01571
41,0.94968,0.92967,0.42414,0.51255,0.46418,0.21187,0.74649,0.93933,0.58567,0.72149,52.94118,0.03746,0.02199,0.01546
42,0.95010,0.92982,0.42664,0.51676,0.46740,0.21296,0.74358,0.93910,0.58997,0.72468,53.13725,0.03695,0.02173,0.01522
43,0.95053,0.92993,0.42901,0.52101,0.47056,0.21424,0.74145,0.93904,0.59423,0.72787,52.54902,0.03656,0.02158,0.01498
44,0.95092,0.93013,0.43150,0.52487,0.47362,0.21525,0.73900,0.93886,0.59799,0.73062,52.74510,0.03611,0.02136,0.01475
45,0.95129,0.93032,0.43382,0.52847,0.47649,0.21620,0.73645,0.93864,0.60162,0.73326,51.17647,0.03571,0.02118,0.01452
46,0.95167,0.93043,0.43595,0.53225,0.47931,0.21725,0.73421,0.93850,0.60527,0.73592,54.11765,0.03525,0.02095,0.01431
47,0.95202,0.93058,0.43808,0.53577,0.48203,0.21815,0.73187,0.93831,0.60859,0.73831,52.35294,0.03492,0.02083,0.01409
48,0.95235,0.93074,0.44015,0.53902,0.48459,0.21912,0.73001,0.93822,0.61180,0.74064,52.35294,0.03464,0.02076,0.01388
49,0.95264,0.93096,0.44219,0.54181,0.48696,0.21979,0.72784,0.93800,0.61446,0.74252,51.96078,0.03426,0.02059,0.01368
50,0.95296,0.93112,0.44416,0.54492,0.48941,0.22071,0.72595,0.93789,0.61751,0.74470,53.92157,0.03386,0.02039,0.01348
51,0.95321,0.93135,0.44608,0.54739,0.49157,0.22135,0.72395,0.93770,0.61998,0.74644,52.15686,0.03363,0.02034,0.01329
52,0.95350,0.93150,0.44788,0.55020,0.49380,0.22212,0.72220,0.93757,0.62257,0.74827,54.31373,0.03335,0.02025,0.01310
53,0.95378,0.93163,0.44959,0.55301,0.49596,0.22288,0.72017,0.93740,0.62528,0.75017,53.72549,0.03290,0.01999,0.01291
54,0.95407,0.93177,0.45132,0.55578,0.49813,0.22348,0.71786,0.93715,0.62778,0.75188,54.31373,0.03269,0.01996,0.01273
55,0.95433,0.93192,0.45301,0.55834,0.50019,0.22419,0.71649,0.93707,0.62999,0.75344,55.09804,0.03237,0.01981,0.01255
56,0.95460,0.93208,0.45474,0.56100,0.50231,0.22492,0.71483,0.93695,0.63239,0.75512,55.68627,0.03201,0.01963,0.01238
57,0.95483,0.93224,0.45633,0.56326,0.50419,0.22554,0.71323,0.93682,0.63452,0.75659,55.29412,0.03189,0.01967,0.01221
58,0.95510,0.93233,0.45782,0.56589,0.50615,0.22630,0.71153,0.93669,0.63696,0.75828,54.31373,0.03155,0.01950,0.01205
59,0.95533,0.93247,0.45931,0.56817,0.50797,0.22697,0.71019,0.93661,0.63903,0.75972,56.86275,0.03113,0.01924,0.01189
60,0.95558,0.93260,0.46084,0.57060,0.50988,0.22775,0.70875,0.93653,0.64136,0.76134,56.47059,0.03093,0.01919,0.01174
61,0.95581,0.93274,0.46233,0.57289,0.51171,0.22850,0.70750,0.93648,0.64350,0.76282,56.66667,0.03073,0.01914,0.01159
62,0.95606,0.93280,0.46364,0.57537,0.51349,0.22930,0.70585,0.93637,0.64595,0.76451,56.47059,0.03040,0.01896,0.01145
63,0.95631,0.93288,0.46498,0.57783,0.51530,0.23011,0.70424,0.93626,0.64835,0.76615,56.86275,0.03017,0.01886,0.01131
64,0.95653,0.93302,0.46640,0.57994,0.51701,0.23087,0.70342,0.93627,0.65026,0.76749,57.05882,0.02996,0.01880,0.01116
65,0.95676,0.93313,0.46777,0.58222,0.51876,0.23168,0.70204,0.93620,0.65255,0.76905,58.43137,0.02956,0.01853,0.01103
66,0.95695,0.93329,0.46913,0.58403,0.52032,0.23232,0.70127,0.93620,0.65417,0.77017,56.86275,0.02934,0.01845,0.01089
67,0.95717,0.93338,0.47039,0.58624,0.52196,0.23311,0.69969,0.93609,0.65647,0.77173,58.43137,0.02925,0.01849,0.01076
68,0.95737,0.93351,0.47168,0.58814,0.52352,0.23367,0.69816,0.93595,0.65829,0.77294,57.84314,0.02900,0.01837,0.01063
69,0.95762,0.93354,0.47288,0.59068,0.52525,0.23444,0.69626,0.93579,0.66067,0.77453,56.27451,0.02878,0.01827,0.01051
70,0.95782,0.93365,0.47408,0.59259,0.52675,0.23520,0.69562,0.93582,0.66243,0.77574,56.66667,0.02867,0.01829,0.01038
71,0.95806,0.93371,0.47530,0.59499,0.52845,0.23615,0.69420,0.93577,0.66488,0.77740,58.23529,0.02836,0.01809,0.01026
72,0.95828,0.93378,0.47648,0.59721,0.53006,0.23697,0.69283,0.93569,0.66705,0.77886,57.25490,0.02806,0.01792,0.01014
73,0.95848,0.93386,0.47762,0.59916,0.53153,0.23780,0.69200,0.93570,0.66897,0.78017,58.82353,0.02799,0.01796,0.01003
74,0.95871,0.93390,0.47871,0.60146,0.53311,0.23873,0.69082,0.93567,0.67122,0.78168,57.84314,0.02773,0.01781,0.00992
75,0.95890,0.93399,0.47982,0.60335,0.53454,0.23961,0.69017,0.93572,0.67312,0.78299,58.23529,0.02764,0.01783,0.00981
76,0.95910,0.93407,0.48095,0.60533,0.53602,0.24058,0.68978,0.93581,0.67504,0.78432,59.80392,0.02732,0.01762,0.00970
77,0.95930,0.93418,0.48212,0.60725,0.53750,0.24139,0.68879,0.93579,0.67694,0.78559,59.21569,0.02708,0.01749,0.00960
78,0.95948,0.93427,0.48319,0.60901,0.53886,0.24227,0.68843,0.93587,0.67864,0.78677,59.01961,0.02697,0.01748,0.00950
79,0.95969,0.93430,0.48413,0.61106,0.54024,0.24340,0.68808,0.93599,0.68077,0.78824,60.39216,0.02672,0.01733,0.00940
80,0.95988,0.93433,0.48506,0.61301,0.54158,0.24429,0.68738,0.93602,0.68263,0.78949,60.00000,0.02667,0.01737,0.00930
81,0.96008,0.93436,0.48597,0.61495,0.54290,0.24526,0.68659,0.93605,0.68466,0.79086,58.62745,0.02646,0.01725,0.00921
