epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
0,0.87927,0.76878,0.08779,0.17410,0.11672,0.16393,0.15625,0.87973,0.88565,0.88268,7.45098,0.07230,0.04042,0.03189
1,0.90458,0.87168,0.12069,0.16075,0.13787,0.14988,0.35882,0.88139,0.70069,0.78072,12.15686,0.07029,0.03887,0.03141
2,0.91182,0.89688,0.15747,0.18180,0.16877,0.14400,0.39130,0.87931,0.65595,0.75138,17.05882,0.06857,0.03763,0.03094
3,0.91730,0.90267,0.19191,0.22120,0.20552,0.14339,0.40052,0.87890,0.64519,0.74412,22.94118,0.06703,0.03656,0.03046
4,0.92219,0.89687,0.21345,0.26997,0.23840,0.14627,0.41393,0.88048,0.64121,0.74203,28.62745,0.06562,0.03563,0.02999
5,0.92637,0.88771,0.22485,0.31584,0.26269,0.14762,0.41751,0.88110,0.64164,0.74254,33.52941,0.06421,0.03469,0.02952
6,0.92992,0.87884,0.23169,0.35553,0.28055,0.15148,0.42286,0.88297,0.64768,0.74724,37.05882,0.06291,0.03385,0.02906
7,0.93296,0.87137,0.23668,0.38912,0.29433,0.15489,0.42432,0.88440,0.65547,0.75292,38.82353,0.06163,0.03303,0.02861
8,0.93565,0.86573,0.24147,0.41788,0.30607,0.15830,0.42544,0.88576,0.66324,0.75852,42.15686,0.06038,0.03222,0.02816
9,0.93809,0.86165,0.24649,0.44317,0.31678,0.16200,0.42633,0.88715,0.67159,0.76447,43.72549,0.05906,0.03133,0.02773
10,0.94033,0.85893,0.25187,0.46565,0.32691,0.16632,0.42883,0.88877,0.67983,0.77039,46.07843,0.05786,0.03055,0.02731
11,0.94238,0.85699,0.25705,0.48566,0.33617,0.17047,0.43089,0.89023,0.68762,0.77592,48.23529,0.05664,0.02974,0.02690
12,0.94425,0.85532,0.26176,0.50394,0.34455,0.17507,0.43413,0.89183,0.69518,0.78132,50.19608,0.05545,0.02894,0.02650
13,0.94599,0.85384,0.26599,0.52072,0.35212,0.17961,0.43620,0.89325,0.70308,0.78684,51.56863,0.05423,0.02811,0.02612
14,0.94758,0.85252,0.26978,0.53603,0.35892,0.18350,0.43669,0.89430,0.71038,0.79180,50.78431,0.05310,0.02735,0.02574
15,0.94904,0.85139,0.27323,0.54997,0.36508,0.18757,0.43591,0.89524,0.71855,0.79722,51.37255,0.05190,0.02652,0.02538
16,0.95041,0.85047,0.27656,0.56297,0.37091,0.19098,0.43295,0.89578,0.72658,0.80236,52.15686,0.05085,0.02583,0.02502
17,0.95171,0.84976,0.27984,0.57521,0.37651,0.19370,0.42819,0.89597,0.73426,0.80710,51.96078,0.04975,0.02508,0.02467
18,0.95292,0.84931,0.28307,0.58644,0.38183,0.19699,0.42495,0.89638,0.74172,0.81175,53.72549,0.04867,0.02435,0.02432
19,0.95409,0.84909,0.28637,0.59715,0.38710,0.20041,0.42156,0.89676,0.74921,0.81637,55.09804,0.04774,0.02376,0.02398
20,0.95518,0.84911,0.28969,0.60697,0.39219,0.20361,0.41804,0.89705,0.75618,0.82061,54.31373,0.04697,0.02332,0.02365
21,0.95620,0.84943,0.29315,0.61611,0.39727,0.20648,0.41441,0.89724,0.76250,0.82440,55.88235,0.04604,0.02273,0.02331
22,0.95716,0.85001,0.29671,0.62452,0.40229,0.20985,0.41277,0.89767,0.76821,0.82791,55.29412,0.04535,0.02237,0.02299
23,0.95805,0.85085,0.30042,0.63224,0.40730,0.21347,0.41167,0.89815,0.77378,0.83134,55.09804,0.04460,0.02194,0.02266
24,0.95888,0.85195,0.30425,0.63926,0.41228,0.21712,0.41143,0.89869,0.77874,0.83443,57.84314,0.04389,0.02156,0.02233
25,0.95965,0.85326,0.30824,0.64571,0.41728,0.22047,0.41120,0.89917,0.78314,0.83715,58.03922,0.04334,0.02133,0.02202
26,0.96036,0.85468,0.31220,0.65154,0.42212,0.22368,0.41135,0.89964,0.78705,0.83959,57.05882,0.04273,0.02102,0.02170
27,0.96101,0.85616,0.31611,0.65687,0.42682,0.22699,0.41217,0.90017,0.79063,0.84185,57.84314,0.04218,0.02079,0.02139
28,0.96161,0.85764,0.31992,0.66170,0.43131,0.23030,0.41359,0.90074,0.79381,0.84390,57.64706,0.04161,0.02052,0.02108
29,0.96216,0.85917,0.32367,0.66605,0.43564,0.23365,0.41555,0.90136,0.79668,0.84579,59.60784,0.04104,0.02026,0.02078
30,0.96266,0.86072,0.32739,0.67005,0.43986,0.23651,0.41739,0.90189,0.79900,0.84733,58.43137,0.04058,0.02010,0.02048
31,0.96314,0.86224,0.33101,0.67379,0.44393,0.23935,0.41910,0.90241,0.80130,0.84885,58.43137,0.04005,0.01986,0.02019
32,0.96356,0.86374,0.33449,0.67706,0.44777,0.24235,0.42159,0.90301,0.80338,0.85028,59.21569,0.03968,0.01978,0.01990
33,0.96396,0.86522,0.33792,0.68017,0.45151,0.24517,0.42392,0.90357,0.80529,0.85160,60.00000,0.03923,0.01961,0.01962
34,0.96432,0.86666,0.34120,0.68290,0.45505,0.24758,0.42585,0.90403,0.80692,0.85272,58.82353,0.03878,0.01945,0.01934
35,0.96466,0.86810,0.34445,0.68544,0.45849,0.24965,0.42766,0.90445,0.80823,0.85364,60.39216,0.03836,0.01930,0.01906
36,0.96496,0.86953,0.34764,0.68766,0.46181,0.25143,0.42912,0.90479,0.80939,0.85443,59.41176,0.03789,0.01910,0.01879
37,0.96522,0.87095,0.35072,0.68953,0.46494,0.25343,0.43126,0.90522,0.81045,0.85522,59.21569,0.03761,0.01909,0.01852
38,0.96545,0.87233,0.35370,0.69121,0.46795,0.25533,0.43304,0.90561,0.81157,0.85601,59.80392,0.03711,0.01885,0.01826
39,0.96570,0.87363,0.35662,0.69300,0.47091,0.25729,0.43521,0.90604,0.81255,0.85675,59.41176,0.03679,0.01878,0.01801
40,0.96593,0.87489,0.35944,0.69465,0.47375,0.25909,0.43727,0.90644,0.81342,0.85741,60.19608,0.03635,0.01859,0.01776
41,0.96613,0.87610,0.36215,0.69609,0.47643,0.26077,0.43923,0.90681,0.81422,0.85802,59.21569,0.03596,0.01845,0.01751
42,0.96633,0.87729,0.36483,0.69746,0.47907,0.26231,0.44110,0.90716,0.81491,0.85857,59.60784,0.03562,0.01835,0.01727
43,0.96651,0.87844,0.36743,0.69878,0.48162,0.26407,0.44353,0.90760,0.81557,0.85913,59.01961,0.03527,0.01823,0.01704
44,0.96669,0.87952,0.36992,0.70007,0.48406,0.26547,0.44543,0.90794,0.81610,0.85957,59.60784,0.03499,0.01818,0.01680
45,0.96687,0.88057,0.37236,0.70131,0.48645,0.26700,0.44746,0.90830,0.81671,0.86007,59.80392,0.03466,0.01808,0.01657
46,0.96703,0.88161,0.37476,0.70244,0.48876,0.26858,0.44980,0.90871,0.81722,0.86054,59.01961,0.03430,0.01795,0.01635
47,0.96717,0.88266,0.37716,0.70340,0.49103,0.27005,0.45244,0.90914,0.81751,0.86089,59.60784,0.03403,0.01791,0.01613
48,0.96730,0.88369,0.37951,0.70424,0.49322,0.27159,0.45536,0.90960,0.81776,0.86124,60.00000,0.03371,0.01779,0.01591
49,0.96743,0.88464,0.38175,0.70519,0.49534,0.27311,0.45797,0.91003,0.81811,0.86163,59.41176,0.03353,0.01784,0.01570
50,0.96757,0.88556,0.38393,0.70610,0.49741,0.27462,0.46066,0.91047,0.81842,0.86199,59.60784,0.03320,0.01771,0.01549
51,0.96770,0.88646,0.38610,0.70701,0.49945,0.27606,0.46325,0.91089,0.81872,0.86235,60.19608,0.03286,0.01758,0.01528
52,0.96782,0.88733,0.38820,0.70788,0.50142,0.27738,0.46557,0.91126,0.81901,0.86268,60.39216,0.03247,0.01739,0.01508
53,0.96796,0.88815,0.39026,0.70888,0.50339,0.27845,0.46727,0.91155,0.81931,0.86297,60.78431,0.03226,0.01738,0.01488
54,0.96808,0.88893,0.39223,0.70980,0.50526,0.27943,0.46873,0.91180,0.81963,0.86326,60.98039,0.03199,0.01730,0.01469
55,0.96822,0.88967,0.39415,0.71077,0.50709,0.28054,0.47031,0.91208,0.82001,0.86360,60.78431,0.03188,0.01738,0.01450
56,0.96834,0.89037,0.39597,0.71175,0.50885,0.28172,0.47183,0.91235,0.82047,0.86398,60.39216,0.03165,0.01733,0.01431
57,0.96848,0.89104,0.39778,0.71276,0.51060,0.28276,0.47314,0.91259,0.82090,0.86432,60.78431,0.03126,0.01713,0.01413
58,0.96858,0.89173,0.39954,0.71350,0.51224,0.28380,0.47505,0.91290,0.82110,0.86457,60.78431,0.03114,0.01720,0.01395
59,0.96868,0.89242,0.40130,0.71421,0.51386,0.28481,0.47689,0.91320,0.82129,0.86481,61.56863,0.03082,0.01705,0.01377
60,0.96880,0.89301,0.40294,0.71514,0.51545,0.28602,0.47867,0.91351,0.82168,0.86516,60.39216,0.03071,0.01711,0.01360
61,0.96893,0.89358,0.40457,0.71622,0.51707,0.28708,0.47994,0.91374,0.82213,0.86552,60.98039,0.03041,0.01698,0.01343
62,0.96905,0.89416,0.40616,0.71708,0.51859,0.28802,0.48116,0.91396,0.82249,0.86582,60.78431,0.03028,0.01702,0.01326
