epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
0,0.90539,0.37174,0.12385,0.69767,0.21055,0.00000,0.00000,0.87402,0.99552,0.93082,10.39216,0.07142,0.04076,0.03067
1,0.91640,0.29025,0.10476,0.75893,0.18414,0.14286,0.01765,0.87203,0.98443,0.92483,13.92157,0.06933,0.03914,0.03019
2,0.92074,0.29429,0.10258,0.76141,0.18081,0.12500,0.03623,0.87100,0.96249,0.91446,15.68627,0.06774,0.03802,0.02972
3,0.92423,0.31424,0.10298,0.75374,0.18122,0.12429,0.05759,0.87055,0.93983,0.90386,18.82353,0.06620,0.03695,0.02925
4,0.92925,0.35590,0.10623,0.73883,0.18577,0.12000,0.07377,0.86989,0.91966,0.89408,21.56863,0.06491,0.03613,0.02878
5,0.93446,0.40435,0.11151,0.72518,0.19332,0.13245,0.10101,0.87092,0.90165,0.88602,23.72549,0.06357,0.03524,0.02832
6,0.93840,0.44389,0.11690,0.71661,0.20103,0.14422,0.13000,0.87246,0.88525,0.87881,26.07843,0.06243,0.03456,0.02787
7,0.94149,0.47297,0.12179,0.71336,0.20808,0.15159,0.15385,0.87380,0.87186,0.87283,30.19608,0.06126,0.03383,0.02743
8,0.94424,0.49401,0.12624,0.71490,0.21460,0.15955,0.17215,0.87529,0.86500,0.87011,33.52941,0.06010,0.03311,0.02699
9,0.94664,0.50955,0.13017,0.71887,0.22044,0.16667,0.18566,0.87664,0.86176,0.86914,35.49020,0.05898,0.03242,0.02657
10,0.94890,0.52235,0.13391,0.72428,0.22605,0.17255,0.19573,0.87776,0.86019,0.86888,38.43137,0.05781,0.03166,0.02615
11,0.95087,0.53469,0.13761,0.72892,0.23153,0.17819,0.20325,0.87876,0.86034,0.86945,41.56863,0.05664,0.03090,0.02574
12,0.95275,0.54785,0.14165,0.73318,0.23744,0.18325,0.20958,0.87964,0.86081,0.87012,42.94118,0.05544,0.03010,0.02534
13,0.95451,0.56208,0.14609,0.73672,0.24384,0.19226,0.22053,0.88123,0.86193,0.87147,46.47059,0.05425,0.02929,0.02496
14,0.95605,0.57778,0.15097,0.73874,0.25072,0.19777,0.22933,0.88234,0.86135,0.87172,47.64706,0.05306,0.02848,0.02458
15,0.95732,0.59434,0.15619,0.73927,0.25791,0.20473,0.24063,0.88377,0.86067,0.87207,50.58824,0.05186,0.02766,0.02420
16,0.95827,0.61075,0.16143,0.73813,0.26494,0.21053,0.25227,0.88514,0.85897,0.87186,49.21569,0.05089,0.02706,0.02384
17,0.95884,0.62650,0.16646,0.73507,0.27147,0.21488,0.26313,0.88634,0.85666,0.87125,50.19608,0.04984,0.02637,0.02348
18,0.95920,0.64131,0.17134,0.73116,0.27764,0.21935,0.27586,0.88772,0.85362,0.87034,53.13725,0.04881,0.02569,0.02312
19,0.95944,0.65500,0.17605,0.72699,0.28348,0.22355,0.28874,0.88912,0.85046,0.86936,53.52941,0.04787,0.02510,0.02277
20,0.95962,0.66758,0.18063,0.72297,0.28907,0.22675,0.30037,0.89036,0.84726,0.86828,53.33333,0.04687,0.02444,0.02243
21,0.95981,0.67916,0.18516,0.71946,0.29454,0.22896,0.31004,0.89137,0.84430,0.86720,53.72549,0.04601,0.02391,0.02209
22,0.95997,0.68982,0.18956,0.71614,0.29979,0.23119,0.31928,0.89236,0.84165,0.86627,53.52941,0.04510,0.02334,0.02177
23,0.96013,0.69968,0.19390,0.71325,0.30493,0.23322,0.32774,0.89329,0.83929,0.86545,55.68627,0.04429,0.02284,0.02144
24,0.96030,0.70880,0.19817,0.71073,0.30995,0.23555,0.33589,0.89423,0.83741,0.86489,54.50980,0.04353,0.02241,0.02113
25,0.96049,0.71724,0.20238,0.70867,0.31487,0.23733,0.34340,0.89507,0.83540,0.86421,54.70588,0.04281,0.02199,0.02082
26,0.96065,0.72511,0.20648,0.70664,0.31960,0.23920,0.35142,0.89598,0.83328,0.86349,56.07843,0.04208,0.02156,0.02052
27,0.96080,0.73251,0.21051,0.70478,0.32421,0.24032,0.35851,0.89674,0.83095,0.86259,55.88235,0.04141,0.02119,0.02022
28,0.96093,0.73947,0.21447,0.70297,0.32868,0.24118,0.36544,0.89746,0.82850,0.86160,57.45098,0.04075,0.02082,0.01993
29,0.96107,0.74602,0.21838,0.70139,0.33308,0.24202,0.37221,0.89818,0.82611,0.86064,56.27451,0.04011,0.02047,0.01964
30,0.96120,0.75219,0.22222,0.69995,0.33737,0.24299,0.37916,0.89894,0.82378,0.85972,55.88235,0.03970,0.02034,0.01936
31,0.96134,0.75795,0.22599,0.69875,0.34155,0.24387,0.38597,0.89968,0.82147,0.85880,58.03922,0.03903,0.01995,0.01908
32,0.96151,0.76336,0.22974,0.69790,0.34570,0.24508,0.39236,0.90042,0.81969,0.85816,57.84314,0.03849,0.01968,0.01881
33,0.96168,0.76846,0.23344,0.69728,0.34980,0.24601,0.39781,0.90105,0.81810,0.85758,57.64706,0.03801,0.01946,0.01854
34,0.96186,0.77329,0.23708,0.69678,0.35380,0.24695,0.40349,0.90171,0.81644,0.85696,58.23529,0.03758,0.01929,0.01828
35,0.96204,0.77784,0.24066,0.69648,0.35774,0.24823,0.40885,0.90238,0.81527,0.85661,56.66667,0.03717,0.01914,0.01803
36,0.96223,0.78213,0.24421,0.69641,0.36163,0.24938,0.41366,0.90299,0.81424,0.85632,56.66667,0.03663,0.01886,0.01777
37,0.96246,0.78619,0.24776,0.69668,0.36554,0.25023,0.41771,0.90348,0.81326,0.85600,57.64706,0.03628,0.01876,0.01752
38,0.96268,0.78999,0.25119,0.69702,0.36931,0.25098,0.42033,0.90383,0.81284,0.85593,57.64706,0.03592,0.01864,0.01728
39,0.96292,0.79357,0.25459,0.69765,0.37307,0.25206,0.42306,0.90422,0.81270,0.85602,58.82353,0.03549,0.01845,0.01704
40,0.96317,0.79696,0.25796,0.69848,0.37679,0.25328,0.42612,0.90467,0.81256,0.85614,58.23529,0.03516,0.01837,0.01680
41,0.96341,0.80018,0.26124,0.69932,0.38041,0.25424,0.42857,0.90502,0.81242,0.85623,58.82353,0.03475,0.01818,0.01657
42,0.96366,0.80326,0.26450,0.70027,0.38399,0.25521,0.43091,0.90537,0.81236,0.85635,58.62745,0.03432,0.01798,0.01634
43,0.96390,0.80615,0.26765,0.70124,0.38744,0.25614,0.43315,0.90569,0.81231,0.85646,58.62745,0.03404,0.01791,0.01612
44,0.96415,0.80890,0.27076,0.70234,0.39086,0.25712,0.43507,0.90600,0.81244,0.85667,59.01961,0.03363,0.01772,0.01591
45,0.96437,0.81157,0.27379,0.70327,0.39416,0.25840,0.43753,0.90639,0.81263,0.85695,59.41176,0.03339,0.01769,0.01570
46,0.96460,0.81409,0.27677,0.70432,0.39741,0.25932,0.43947,0.90669,0.81269,0.85712,60.19608,0.03310,0.01761,0.01549
47,0.96483,0.81651,0.27969,0.70540,0.40058,0.26052,0.44174,0.90705,0.81290,0.85740,60.19608,0.03277,0.01749,0.01529
48,0.96506,0.81882,0.28256,0.70652,0.40370,0.26150,0.44352,0.90734,0.81310,0.85764,60.39216,0.03255,0.01747,0.01509
49,0.96528,0.82102,0.28537,0.70766,0.40674,0.26268,0.44523,0.90764,0.81351,0.85800,60.39216,0.03211,0.01722,0.01489
50,0.96550,0.82315,0.28813,0.70880,0.40973,0.26388,0.44743,0.90799,0.81375,0.85829,60.39216,0.03197,0.01727,0.01470
