epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
0,0.94323,0.08161,0.11802,0.96156,0.21024,nan,0.00000,0.87451,1.00000,0.93305,17.05882,0.07453,0.04298,0.03156
1,0.95657,0.10195,0.10462,0.95776,0.18864,0.00000,0.00000,0.87170,0.99913,0.93108,21.96078,0.07146,0.04030,0.03115
2,0.96287,0.15278,0.10569,0.94443,0.19010,0.00000,0.00000,0.87085,0.99732,0.92980,25.29412,0.06912,0.03838,0.03074
3,0.96413,0.21811,0.10974,0.92236,0.19615,0.20690,0.01571,0.87163,0.99107,0.92752,30.58824,0.06726,0.03695,0.03030
4,0.96350,0.29956,0.11645,0.89053,0.20596,0.21505,0.04098,0.87286,0.97778,0.92235,35.29412,0.06577,0.03591,0.02986
5,0.96254,0.37751,0.12440,0.85754,0.21728,0.22335,0.07407,0.87480,0.96171,0.91620,40.00000,0.06446,0.03506,0.02941
6,0.96167,0.44140,0.13229,0.82878,0.22817,0.21154,0.11000,0.87644,0.93901,0.90665,40.78431,0.06336,0.03441,0.02895
7,0.96096,0.49247,0.13980,0.80481,0.23823,0.21655,0.15261,0.87920,0.91784,0.89810,43.92157,0.06228,0.03378,0.02850
8,0.96044,0.53410,0.14700,0.78494,0.24763,0.21392,0.18531,0.88108,0.89863,0.88977,45.29412,0.06127,0.03321,0.02806
9,0.96010,0.56841,0.15390,0.76869,0.25645,0.21484,0.21611,0.88316,0.88239,0.88277,47.64706,0.06026,0.03264,0.02762
10,0.96000,0.59711,0.16065,0.75610,0.26500,0.21480,0.24021,0.88480,0.86920,0.87693,49.80392,0.05928,0.03210,0.02719
11,0.96008,0.62124,0.16722,0.74649,0.27324,0.21616,0.26098,0.88639,0.85901,0.87249,51.76471,0.05827,0.03151,0.02676
12,0.96018,0.64199,0.17353,0.73847,0.28103,0.21793,0.27844,0.88784,0.85110,0.86908,53.13725,0.05725,0.03090,0.02635
13,0.96035,0.65994,0.17965,0.73215,0.28851,0.21847,0.29196,0.88891,0.84436,0.86606,51.96078,0.05628,0.03034,0.02594
14,0.96056,0.67561,0.18557,0.72712,0.29567,0.21932,0.30362,0.88990,0.83892,0.86366,53.13725,0.05528,0.02973,0.02554
15,0.96082,0.68951,0.19136,0.72326,0.30265,0.22085,0.31378,0.89087,0.83499,0.86202,51.96078,0.05418,0.02902,0.02516
16,0.96108,0.70188,0.19695,0.72005,0.30930,0.22166,0.32102,0.89153,0.83195,0.86071,51.96078,0.05320,0.02842,0.02478
17,0.96139,0.71293,0.20243,0.71790,0.31581,0.22194,0.32637,0.89199,0.82942,0.85957,52.35294,0.05221,0.02779,0.02441
18,0.96174,0.72283,0.20779,0.71658,0.32216,0.22222,0.32961,0.89228,0.82799,0.85894,51.17647,0.05122,0.02717,0.02405
19,0.96212,0.73183,0.21305,0.71591,0.32838,0.22362,0.33349,0.89276,0.82735,0.85881,52.74510,0.05017,0.02647,0.02370
20,0.96247,0.74007,0.21814,0.71534,0.33433,0.22508,0.33700,0.89322,0.82698,0.85882,50.78431,0.04923,0.02587,0.02336
21,0.96282,0.74763,0.22313,0.71518,0.34014,0.22603,0.33974,0.89355,0.82652,0.85873,51.76471,0.04823,0.02520,0.02303
22,0.96319,0.75466,0.22806,0.71533,0.34586,0.22712,0.34182,0.89385,0.82653,0.85887,50.78431,0.04728,0.02459,0.02270
23,0.96351,0.76124,0.23286,0.71543,0.35136,0.22884,0.34572,0.89437,0.82624,0.85896,51.76471,0.04645,0.02407,0.02238
24,0.96381,0.76736,0.23751,0.71553,0.35665,0.23024,0.34854,0.89477,0.82620,0.85912,52.35294,0.04565,0.02358,0.02206
25,0.96413,0.77305,0.24211,0.71597,0.36185,0.23163,0.35077,0.89512,0.82645,0.85941,52.35294,0.04477,0.02302,0.02175
26,0.96443,0.77838,0.24658,0.71645,0.36689,0.23356,0.35390,0.89561,0.82677,0.85981,52.54902,0.04409,0.02265,0.02145
27,0.96473,0.78342,0.25099,0.71700,0.37182,0.23543,0.35748,0.89613,0.82683,0.86008,53.92157,0.04328,0.02213,0.02115
28,0.96500,0.78818,0.25530,0.71754,0.37661,0.23710,0.36082,0.89661,0.82682,0.86030,53.52941,0.04256,0.02171,0.02085
