epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
0,0.90165,0.49088,0.12725,0.58107,0.20885,0.30556,0.17188,0.88819,0.94395,0.91522,8.82353,0.07079,0.04008,0.03072
1,0.91493,0.40563,0.10784,0.65578,0.18523,0.22124,0.14706,0.88046,0.92388,0.90165,15.88235,0.06849,0.03824,0.03025
2,0.92017,0.41189,0.10674,0.66293,0.18388,0.18900,0.19928,0.88061,0.87353,0.87705,24.31373,0.06658,0.03680,0.02978
3,0.92288,0.42191,0.10696,0.66261,0.18420,0.17570,0.24607,0.88114,0.82880,0.85417,25.68627,0.06504,0.03573,0.02931
4,0.92499,0.44033,0.10827,0.65556,0.18586,0.17215,0.27869,0.88204,0.80097,0.83955,30.19608,0.06380,0.03496,0.02884
5,0.92928,0.48523,0.11395,0.64191,0.19354,0.16904,0.29966,0.88239,0.78103,0.82862,31.96078,0.06276,0.03439,0.02837
6,0.93245,0.53052,0.12050,0.62598,0.20211,0.16799,0.33143,0.88373,0.75584,0.81480,32.94118,0.06181,0.03392,0.02789
7,0.93449,0.56739,0.12661,0.61192,0.20982,0.16763,0.36104,0.88520,0.73320,0.80206,33.72549,0.06089,0.03346,0.02743
8,0.93604,0.59717,0.13241,0.60108,0.21702,0.16857,0.38925,0.88706,0.71417,0.79128,35.09804,0.05996,0.03299,0.02697
9,0.93736,0.62138,0.13797,0.59338,0.22388,0.16903,0.41061,0.88850,0.69939,0.78268,36.66667,0.05905,0.03253,0.02652
10,0.93853,0.64164,0.14335,0.58795,0.23050,0.17049,0.42972,0.89018,0.68858,0.77651,39.21569,0.05815,0.03206,0.02609
11,0.93957,0.65904,0.14856,0.58393,0.23687,0.17195,0.44553,0.89173,0.68035,0.77183,42.74510,0.05715,0.03149,0.02566
12,0.94057,0.67428,0.15376,0.58143,0.24321,0.17328,0.45734,0.89300,0.67488,0.76877,43.13725,0.05616,0.03090,0.02526
13,0.94154,0.68804,0.15903,0.58000,0.24963,0.17449,0.46671,0.89409,0.67094,0.76661,44.90196,0.05516,0.03030,0.02486
14,0.94249,0.70058,0.16437,0.57941,0.25609,0.17627,0.47610,0.89540,0.66840,0.76542,46.86275,0.05414,0.02966,0.02448
15,0.94346,0.71218,0.16990,0.57989,0.26281,0.17783,0.48307,0.89645,0.66709,0.76495,48.82353,0.05314,0.02903,0.02411
16,0.94450,0.72306,0.17575,0.58159,0.26994,0.17996,0.49091,0.89778,0.66653,0.76506,50.19608,0.05216,0.02841,0.02375
17,0.94547,0.73319,0.18159,0.58332,0.27697,0.18219,0.49786,0.89906,0.66683,0.76572,50.78431,0.05120,0.02780,0.02340
18,0.94642,0.74268,0.18756,0.58558,0.28413,0.18436,0.50456,0.90032,0.66717,0.76640,51.37255,0.05023,0.02717,0.02306
19,0.94732,0.75161,0.19356,0.58787,0.29124,0.18653,0.51059,0.90151,0.66798,0.76737,52.94118,0.04930,0.02657,0.02273
20,0.94818,0.75994,0.19956,0.59036,0.29830,0.18952,0.51832,0.90310,0.66947,0.76893,54.70588,0.04837,0.02597,0.02240
21,0.94899,0.76776,0.20554,0.59282,0.30525,0.19245,0.52533,0.90461,0.67127,0.77066,55.49020,0.04740,0.02531,0.02209
22,0.94971,0.77504,0.21134,0.59498,0.31190,0.19501,0.53130,0.90590,0.67291,0.77221,54.90196,0.04644,0.02465,0.02179
23,0.95038,0.78183,0.21705,0.59707,0.31837,0.19797,0.53797,0.90736,0.67495,0.77409,55.49020,0.04561,0.02411,0.02149
24,0.95101,0.78813,0.22263,0.59910,0.32463,0.20082,0.54410,0.90874,0.67706,0.77597,57.25490,0.04468,0.02347,0.02121
