epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
0,0.86953,0.71669,0.06634,0.15891,0.09397,0.07059,0.09375,0.86353,0.82287,0.84271,4.11765,0.07437,0.04340,0.03097
1,0.87647,0.52868,0.06913,0.32003,0.11381,0.06863,0.08235,0.86096,0.83564,0.84811,7.45098,0.07130,0.04071,0.03059
2,0.88323,0.50515,0.07340,0.37013,0.12258,0.07471,0.09420,0.86065,0.82744,0.84372,13.72549,0.06905,0.03885,0.03020
3,0.89135,0.50872,0.07956,0.40665,0.13314,0.07812,0.10471,0.86018,0.81677,0.83791,20.00000,0.06706,0.03726,0.02980
